site,height,lai,fhd,ch,Zone,Lat,Lon,Canopy_cover
15,"mid height
(5-10)",0.371709158,0.101656108,11.5,shade coffee,15.17043,-92.33678,45
16,"mid height
(5-10)",1.324222172,0.237710144,19.5,shade coffee,15.16908,-92.33711,40
17,"mid height
(5-10)",0.11955798,0.060208768,15.5,shade coffee,15.16833,-92.33744,55
18,"mid height
(5-10)",0.682678049,0.153426906,14.5,shade coffee,15.16754,-92.33826,60
19,"mid height
(5-10)",0.983278262,0.202414297,15.5,forest,15.17273,-92.33514,90
20,"mid height
(5-10)",1.158433761,0.231932651,16.5,forest,15.17157,-92.33579,90
21,"mid height
(5-10)",0.531082097,0.144369098,15.5,forest,15.17091,-92.33606,70
22,"mid height
(5-10)",0.9142098,0.186308742,14.5,forest,15.169637,-92.33636,90
23,"mid height
(5-10)",0.476295706,0.126892286,16.5,forest,15.16781,-92.33737,85
24,"mid height
(5-10)",0.277976963,0.117770911,10.5,forest,15.1685,-92.3357,60
25,"mid height
(5-10)",0.395671948,0.130257396,13.5,forest,15.16873,-92.33592,90
26,"mid height
(5-10)",0.396715989,0.136955106,10.5,forest,15.16845,-92.33589,90
27,"mid height
(5-10)",0.133270656,0.073094287,14.5,shade coffee,15.17019,-92.34069,45
28,"mid height
(5-10)",0.630436315,0.124190116,14.5,shade coffee,15.16913,-92.34147,50
29,"mid height
(5-10)",0.608488675,0.119583024,16.5,shade coffee,15.1678,-92.34149,60
30,"mid height
(5-10)",0.556961322,0.116437638,13.5,shade coffee,15.16845,-92.34029,30
31,"mid height
(5-10)",0.159520531,0.053691208,8.5,sun coffee,15.1727,-92.33066,10
32,"mid height
(5-10)",0.177990165,0.047049438,9.5,sun coffee,15.17124,-92.32934,5
33,"mid height
(5-10)",0.148838537,0.034896904,15.5,sun coffee,15.16986,-92.33034,20
34,"mid height
(5-10)",0.210093003,0.050654682,8.5,sun coffee,15.17143,-92.33099,12
35,"mid height
(5-10)",0.369150097,0.093589892,11.5,sun coffee,15.16986,-92.33187,10
36,"mid height
(5-10)",2.136966801,0.326211446,26.5,sun coffee,15.16866,-92.33195,50
37,"mid height
(5-10)",0.137055289,0.056355089,7.5,sun coffee,15.1688,-92.32923,10
38,"mid height
(5-10)",0.474424961,0.148259493,10.5,sun coffee,15.17632,-92.33272,5
39,"mid height
(5-10)",1.920172096,0.262774764,11.5,sun coffee,15.17504,-92.33293,5
40,"mid height
(5-10)",0.072686517,0.03500279,6.5,sun coffee,15.17385,-92.33318,5
41,"mid height
(5-10)",0.337040604,0.127523237,10.5,sun coffee,15.17561,-92.33186,5
42,"mid height
(5-10)",0.123507361,0.099792126,7.5,sun coffee,15.17572,-92.32994,10
43,"mid height
(5-10)",0.295480193,0.086637857,8.5,sun coffee,15.17427,-92.32941,18
44,"mid height
(5-10)",0.096681056,0.031369203,6.5,sun coffee,15.17218,-92.33218,5
45,"mid height
(5-10)",0.391250521,0.087932323,11.5,sun coffee,15.17294,-92.33298,5
1,"canopy
(10-20)",0.343551375,0.135632936,18.5,shade coffee,15.17131,-92.33797,50
2,"canopy
(10-20)",0.118584085,0.09905715,16.5,shade coffee,15.17147,-92.33971,20
3,"canopy
(10-20)",0.134710788,0.108115992,13.5,shade coffee,15.17107,-92.34143,30
4,"canopy
(10-20)",0.117762671,0.153791258,12.5,shade coffee,15.16934,-92.3425,85
5,"canopy
(10-20)",0.101123007,0.107156902,13.5,shade coffee,15.17065,-92.33736,80
6,"canopy
(10-20)",0.152885524,0.129857925,14.5,shade coffee,15.16868,-92.33822,20
7,"canopy
(10-20)",0.138244364,0.077423487,14.5,shade coffee,15.16803,-92.34254,40
8,"canopy
(10-20)",0.340479353,0.147100345,15.5,shade coffee,15.16741,-92.34371,85
9,"canopy
(10-20)",0.111081142,0.158982617,12.5,shade coffee,15.16647,-92.34496,20
10,"canopy
(10-20)",0.242954827,0.134543453,14.5,shade coffee,15.16498,-92.34633,45
11,"canopy
(10-20)",0.051516748,0.112359179,12.5,shade coffee,15.16964,-92.33877,10
12,"canopy
(10-20)",0.041524586,0.128976432,10.5,shade coffee,15.1678,-92.33955,30
13,"canopy
(10-20)",0.041445914,0.099865383,12.5,shade coffee,15.16654,-92.34084,5
14,"canopy
(10-20)",0.325669837,0.216506407,16.5,shade coffee,15.16569,-92.34164,75
15,"canopy
(10-20)",0.073615357,0.101656108,11.5,shade coffee,15.17043,-92.33678,45
16,"canopy
(10-20)",0.31082501,0.237710144,19.5,shade coffee,15.16908,-92.33711,40
17,"canopy
(10-20)",0.11555867,0.060208768,15.5,shade coffee,15.16833,-92.33744,55
18,"canopy
(10-20)",0.229818086,0.153426906,14.5,shade coffee,15.16754,-92.33826,60
19,"canopy
(10-20)",0.266962078,0.202414297,15.5,forest,15.17273,-92.33514,90
20,"canopy
(10-20)",0.22257574,0.231932651,16.5,forest,15.17157,-92.33579,90
21,"canopy
(10-20)",0.15961924,0.144369098,15.5,forest,15.17091,-92.33606,70
22,"canopy
(10-20)",0.188341838,0.186308742,14.5,forest,15.169637,-92.33636,90
23,"canopy
(10-20)",0.133455785,0.126892286,16.5,forest,15.16781,-92.33737,85
24,"canopy
(10-20)",0.031690401,0.117770911,10.5,forest,15.1685,-92.3357,60
25,"canopy
(10-20)",0.094194191,0.130257396,13.5,forest,15.16873,-92.33592,90
26,"canopy
(10-20)",0.036015936,0.136955106,10.5,forest,15.16845,-92.33589,90
27,"canopy
(10-20)",0.063371229,0.073094287,14.5,shade coffee,15.17019,-92.34069,45
28,"canopy
(10-20)",0.173710738,0.124190116,14.5,shade coffee,15.16913,-92.34147,50
29,"canopy
(10-20)",0.355812521,0.119583024,16.5,shade coffee,15.1678,-92.34149,60
30,"canopy
(10-20)",0.094019827,0.116437638,13.5,shade coffee,15.16845,-92.34029,30
31,"canopy
(10-20)",0.003189731,0.053691208,8.5,sun coffee,15.1727,-92.33066,10
32,"canopy
(10-20)",0.001964207,0.047049438,9.5,sun coffee,15.17124,-92.32934,5
33,"canopy
(10-20)",0.130477249,0.034896904,15.5,sun coffee,15.16986,-92.33034,20
34,"canopy
(10-20)",0.003564752,0.050654682,8.5,sun coffee,15.17143,-92.33099,12
35,"canopy
(10-20)",0.032593743,0.093589892,11.5,sun coffee,15.16986,-92.33187,10
36,"canopy
(10-20)",1.393743576,0.326211446,26.5,sun coffee,15.16866,-92.33195,50
37,"canopy
(10-20)",0.000790919,0.056355089,7.5,sun coffee,15.1688,-92.32923,10
38,"canopy
(10-20)",0.031190445,0.148259493,10.5,sun coffee,15.17632,-92.33272,5
39,"canopy
(10-20)",0.082651574,0.262774764,11.5,sun coffee,15.17504,-92.33293,5
40,"canopy
(10-20)",0.000750169,0.03500279,6.5,sun coffee,15.17385,-92.33318,5
41,"canopy
(10-20)",0.015622132,0.127523237,10.5,sun coffee,15.17561,-92.33186,5
42,"canopy
(10-20)",0.000633267,0.099792126,7.5,sun coffee,15.17572,-92.32994,10
43,"canopy
(10-20)",0.000634682,0.086637857,8.5,sun coffee,15.17427,-92.32941,18
44,"canopy
(10-20)",3.27145624543618e-06,0.031369203,6.5,sun coffee,15.17218,-92.33218,5
45,"canopy
(10-20)",0.063972699,0.087932323,11.5,sun coffee,15.17294,-92.33298,5
1,"high canopy
(20+)",0.01642035,0.135632936,18.5,shade coffee,15.17131,-92.33797,50
2,"high canopy
(20+)",0.004762385,0.09905715,16.5,shade coffee,15.17147,-92.33971,20
3,"high canopy
(20+)",0.000576884,0.108115992,13.5,shade coffee,15.17107,-92.34143,30
4,"high canopy
(20+)",0.000293855,0.153791258,12.5,shade coffee,15.16934,-92.3425,85
5,"high canopy
(20+)",0.003247651,0.107156902,13.5,shade coffee,15.17065,-92.33736,80
6,"high canopy
(20+)",0,0.129857925,14.5,shade coffee,15.16868,-92.33822,20
7,"high canopy
(20+)",3.48136191886606e-05,0.077423487,14.5,shade coffee,15.16803,-92.34254,40
8,"high canopy
(20+)",5.27825649963826e-07,0.147100345,15.5,shade coffee,15.16741,-92.34371,85
9,"high canopy
(20+)",0,0.158982617,12.5,shade coffee,15.16647,-92.34496,20
10,"high canopy
(20+)",0.000533381,0.134543453,14.5,shade coffee,15.16498,-92.34633,45
11,"high canopy
(20+)",3.09001661021717e-06,0.112359179,12.5,shade coffee,15.16964,-92.33877,10
12,"high canopy
(20+)",0.001972796,0.128976432,10.5,shade coffee,15.1678,-92.33955,30
13,"high canopy
(20+)",6.4875350661938e-07,0.099865383,12.5,shade coffee,15.16654,-92.34084,5
14,"high canopy
(20+)",0.001652845,0.216506407,16.5,shade coffee,15.16569,-92.34164,75
15,"high canopy
(20+)",0.000260651,0.101656108,11.5,shade coffee,15.17043,-92.33678,45
16,"high canopy
(20+)",0.013243314,0.237710144,19.5,shade coffee,15.16908,-92.33711,40
17,"high canopy
(20+)",0.004399877,0.060208768,15.5,shade coffee,15.16833,-92.33744,55
18,"high canopy
(20+)",0.006898997,0.153426906,14.5,shade coffee,15.16754,-92.33826,60
19,"high canopy
(20+)",0.009555367,0.202414297,15.5,forest,15.17273,-92.33514,90
20,"high canopy
(20+)",0.001017073,0.231932651,16.5,forest,15.17157,-92.33579,90
21,"high canopy
(20+)",0.00210147,0.144369098,15.5,forest,15.17091,-92.33606,70
22,"high canopy
(20+)",0.000306746,0.186308742,14.5,forest,15.169637,-92.33636,90
23,"high canopy
(20+)",9.83592393313126e-06,0.126892286,16.5,forest,15.16781,-92.33737,85
24,"high canopy
(20+)",8.08652834882958e-05,0.117770911,10.5,forest,15.1685,-92.3357,60
25,"high canopy
(20+)",0.000441818,0.130257396,13.5,forest,15.16873,-92.33592,90
26,"high canopy
(20+)",0.000490059,0.136955106,10.5,forest,15.16845,-92.33589,90
27,"high canopy
(20+)",0.001143518,0.073094287,14.5,shade coffee,15.17019,-92.34069,45
28,"high canopy
(20+)",0.014152193,0.124190116,14.5,shade coffee,15.16913,-92.34147,50
29,"high canopy
(20+)",0.011026189,0.119583024,16.5,shade coffee,15.1678,-92.34149,60
30,"high canopy
(20+)",0.000286125,0.116437638,13.5,shade coffee,15.16845,-92.34029,30
31,"high canopy
(20+)",5.60486058358844e-08,0.053691208,8.5,sun coffee,15.1727,-92.33066,10
32,"high canopy
(20+)",0.000236192,0.047049438,9.5,sun coffee,15.17124,-92.32934,5
33,"high canopy
(20+)",0.001229104,0.034896904,15.5,sun coffee,15.16986,-92.33034,20
34,"high canopy
(20+)",0,0.050654682,8.5,sun coffee,15.17143,-92.33099,12
35,"high canopy
(20+)",0,0.093589892,11.5,sun coffee,15.16986,-92.33187,10
36,"high canopy
(20+)",0.211017852,0.326211446,26.5,sun coffee,15.16866,-92.33195,50
37,"high canopy
(20+)",0,0.056355089,7.5,sun coffee,15.1688,-92.32923,10
38,"high canopy
(20+)",0,0.148259493,10.5,sun coffee,15.17632,-92.33272,5
39,"high canopy
(20+)",0,0.262774764,11.5,sun coffee,15.17504,-92.33293,5
40,"high canopy
(20+)",2.27225676774818e-05,0.03500279,6.5,sun coffee,15.17385,-92.33318,5
41,"high canopy
(20+)",0.000250314,0.127523237,10.5,sun coffee,15.17561,-92.33186,5
42,"high canopy
(20+)",7.09171889013495e-05,0.099792126,7.5,sun coffee,15.17572,-92.32994,10
43,"high canopy
(20+)",0,0.086637857,8.5,sun coffee,15.17427,-92.32941,18
44,"high canopy
(20+)",1.51132854679996e-05,0.031369203,6.5,sun coffee,15.17218,-92.33218,5
45,"high canopy
(20+)",0.000616162,0.087932323,11.5,sun coffee,15.17294,-92.33298,5
